"id","titulo","texto","data","fonte","url"
"11","Documento 11","Dessa forma, o povoado cresceu em importância: foi elevado à condição de vila por Brás Cubas em 1546 (data controversa, o ano de 1543 também é defendido por certos historiadores), vivendo os seus primeiros anos de ocupação por imigrantes portugueses e espanhóis. A Capela de Santa Catarina se tornou a Igreja Matriz da vila. Ainda hoje, comenta-se o fato de Santos ser uma das poucas cidades que conhecem exatamente o seu local de nascimento: o Outeiro de Santa Catarina, que existe até hoje.","","Corpus da Disciplina",""
"12","Documento 12","A segunda metade do século XVI foi significativa para Santos: criaram-se a Alfândega de Santos em 1550 — o mesmo ano da chegada dos padres jesuítas para a catequização dos índios tupis que ali moravam em núcleo, o arsenal de defesa em 1552, e instalou-se a ordem dos carmelitas em 1589. Mas também foi uma época em que Santos sofreu com a invasão e com os saques dos corsários, por ser um porto relativamente próspero.","","Corpus da Disciplina",""
"13","Documento 13","O saque do pirata Thomas Cavendish, em 1591, deu origem em Santos à lenda do milagre de Nossa Senhora do Monte Serrat, padroeira da cidade. Conta a lenda que a população santista se refugiou num dos morros da cidade, o morro de São Jerônimo, para escapar aos piratas. Neste morro havia uma capela à qual um fidalgo espanhol trouxera uma imagem de Nossa Senhora de Montserrat (daí o nome dado ao morro, Monte Serrat). A população orava na capela de Montserrat quando os piratas começaram a subir para atacá-los e um deslizamento de terra, atribuído à Santa, os fez fugir. Desde então, Nossa Senhora do Monte Serrat é celebrada como padroeira da cidade, e seu dia é comemorado no dia 8 de setembro. Cavendish também destruiu o Outeiro de Santa Catarina e o Engenho dos Erasmos, sendo um dos responsáveis pelo declínio da incipiente economia canavieira da Capitania de São Vicente.","","Corpus da Disciplina",""
"14","Documento 14","Thomas Cavendish permaneceu por dois meses em Santos, saqueando o que podia, chegou a roubar dois sacos de ouro que teriam vindo de uma mina no pico da Jaraguá.   Partiram daí para o Estreito de Magalhães com a finalidade de atacar as colônias espanholas, mas devido ter se demorado muito em Santos, pegaram mau tempo no Estreito de Magalhães onde ficaram presos, muitos de sua tripulação morreram de frio e de fome, tendo retornado a Santos para pedir ajuda na Santa Casa.","","Corpus da Disciplina",""
"15","Documento 15","No século XVII, seguindo uma tendência de toda a Capitania de São Vicente, a vila de Santos entra em um longo e lento processo de estagnação e posterior decadência. Muitos habitantes da vila, na tentativa de buscar uma atividade econômica, se juntavam aos habitantes da vila de São Paulo de Piratininga e partiam nas expedições conhecidas como bandeiras.","","Corpus da Disciplina",""
"16","Documento 16","No fim do século XVIII, a vila retoma o desenvolvimento e sua população começa a crescer. A construção da Calçada do Lorena - estrada de ligação de Santos com São Paulo, o desenvolvimento na infraestrutura (iluminação pública, melhoramentos no porto) e a posterior abertura dos portos brasileiros com a vinda da família real portuguesa reativaram o dinamismo econômico da vila.","","Corpus da Disciplina",""
"17","Documento 17","Cabe destacar que vários episódios relacionados à independência do Brasil ocorreram em Santos, tais como a rebelião militar dos Quartéis de Santos liderada de Chaguinhas contra a tentativa das Cortes Constitucionais de Lisboa de fazer retroceder o Brasil à condição de colônia, e a passagem de D. Pedro I por Santos justo antes do célebre Grito da Independência. Aliás, note-se que o imperador nunca escondeu sua simpatia pela região, chegando a conferir à sua amante o título de Marquesa de Santos.","","Corpus da Disciplina",""
"18","Documento 18","Santos foi elevada à categoria de cidade em 26 de janeiro de 1839 quando a Assembleia Provincial (que hoje equivale a Assembleia Legislativa Estadual) resolveu aprovar uma Lei que elevou a Vila de Santos à condição de Cidade, assinada por Venâncio José Lisboa, presidente da Assembleia. Logo, comemora-se a cada dia 26 de janeiro o aniversário da cidade - não apenas o de sua elevação à categoria de Cidade, mas também o da sua fundação por Brás Cubas. Abaixo segue transcrita a lei de elevação. Era curiosa a metodologia da escrita na forma de fazer e sancionar as leis na época: existia um cabeçalho realmente grande, além do fato de a Lei ser específica (e não como ocorre atualmente, com nuances):","","Corpus da Disciplina",""
"19","Documento 19","A economia do café no Brasil representou um impulso sem precedentes de crescimento para Santos. A inauguração da ferrovia São Paulo Railway ligando Santos às lavouras cafeeiras de Jundiaí em 1867 foi uma fonte de progresso inestimável, principalmente para o porto. A cidade aumentou sua população sobremaneira, ocupando toda a área entre o porto e o Monte Serrat, e as áreas conhecidas como Paquetá e Macuco. A cidade também fervilhava de ideias: foi um dos centros do movimento abolicionista, com a figura de Quintino de Lacerda e seu famoso quilombo no bairro do Jabaquara. O Teatro Guarany, primeiro grande teatro da cidade e palco de manifestações pela abolição, foi inaugurado em 1888.","","Corpus da Disciplina",""
"20","Documento 20","Com a abolição da escravatura e a vinda de mão de obra italiana para substituir o trabalho dos negros, na agricultura, Santos se caracterizou como a porta de entrada do Brasil para os esperançosos imigrantes italianos e japoneses. Muitos acabaram se fixando na própria cidade em vez de seguirem o destino até então traçado para eles. O aumento populacional também acarretou problemas: uma grande epidemia de febre amarela em 1889 dizimou setecentas pessoas. Santos sofria constantemente com as doenças, com os alagamentos. A falta de saneamento básico era um problema, as doenças e os cortiços também. O Porto de Santos era temido, considerado o ""porto da morte"". Para sanar tais problemas, duas obras foram fundamentais: o Porto Organizado, inaugurado em 1892 pelos empresários Cândido Gaffrée e Eduardo Guinle, e o Saneamento de Santos, que é o responsável pelo fim definitivo das doenças e pela salubridade de Santos. A genialidade do projeto do engenheiro Saturnino de Brito teve o triplo mérito de drenar as planícies alagadas com os canais de drenagem - hoje marcos da paisagem urbana santista - de preservar a memória histórica do Centro e de ordenar a ocupação urbana da Ilha de São Vicente com um plano de ruas.","","Corpus da Disciplina",""
"21","Documento 21","Santos se tornou definitivamente uma cidade turística a partir dos anos 1910, com a construção dos hotéis Internacional e Parque Balneário e com a construção dos jardins da orla de Santos a partir de 1935. Até hoje, o turismo em Santos é uma das atividades econômicas principais, ligado principalmente às praias e ao patrimônio histórico. Durante a ditadura militar brasileira, Santos teve a sua autonomia política suspensa: por abrigar o maior porto do Brasil, a cidade foi designada área de segurança nacional pelo governo, perdendo, assim, o direito de eleger prefeito. O prefeito eleito democraticamente Esmeraldo Tarquínio, foi cassado em 1968, o que representou um duro golpe para a cidade.","","Corpus da Disciplina",""
"22","Documento 22","No início dos anos 1980, com o enfraquecimento do regime, pressões políticas pela volta da autonomia cresceram. Finalmente, em 1983, Santos recuperou sua autonomia. A cidade elegeu de maneira democrática o primeiro prefeito em vinte anos, que era ao mesmo tempo um dos principais nomes do movimento pela autonomia: Oswaldo Justo (ligado ao PMDB). Em 1989, a cidade foi palco de um marco na história da luta antimanicomial e da reforma psiquiátrica no Brasil quando no dia 3 de maio a então prefeita Telma de Souza decretou a intervenção da Casa de Saúde Anchieta, manicômio conhecido popularmente como ""Casa dos Horrores"" onde os internos eram submetidos a diversas violações de direitos humanos. Em um ato inédito no país, foram criados cinco Núcleos de Atenção Psicossocial para atender os pacientes egressos do Anchieta, desativado definitivamente em 1996.","","Corpus da Disciplina",""
"23","Documento 23","Durante a década de 1990, como resultado de um processo vindo já da década de 1980, Santos enfrentou uma crise no turismo devido à piora na balneabilidade das suas praias. A cidade passou a recuperar-se a partir do início da década de 1990, em um trabalho de reversão da imagem negativa adquirida ao longo da década de 1970. O comércio cresceu na cidade, e surgiram casas noturnas, agências de recepção turística, hotéis e flats. Em 1991, a Bienal de Artes Plásticas de Santos, interrompida por dezoito anos, voltou a ser realizada, no intuito de recuperar a identidade cultural do município. A partir de 1993, a prefeitura passou a investir no turismo, com revitalizações paisagísticas e construções de ciclovias na cidade. Deste modo, Santos foi considerada a cidade mais visitada por turistas estrangeiros no litoral paulista.","","Corpus da Disciplina",""
"24","Documento 24","A partir do início do século XXI, ocorreram projetos de revitalização da área central da cidade, reconhecida como Centro Histórico. Foram oferecidos incentivos fiscais às empresas em troca de restaurações de prédios depredados, o que melhorou consideravelmente seu aspecto e trouxe empresas para a região. Programações culturais e artísticas atraíram restaurantes e clubes, como a reativação do Teatro Coliseu Santista e a implantação do Bonde Turístico.","","Corpus da Disciplina",""
"25","Documento 25","Nos últimos anos, a cidade contou com grandes empreendimentos principalmente voltados a intervenções logísticas no porto e imobiliárias por prédios voltados à indústria de logística, do petróleo e gás, além de obras para implantação de trecho ferroviário do VLT da Baixada Santista.","","Corpus da Disciplina",""
"26","Documento 26","No dia 13 de agosto de 2014, um avião caiu sobre uma área residencial do bairro do Boqueirão, matando sete pessoas, incluindo Eduardo Campos, então candidato a Presidência do Brasil.","","Corpus da Disciplina",""
"27","Documento 27","Divide-se principalmente em duas áreas geográficas distintas: a área continental e a área insular. As duas áreas diferem tanto em termos demográficos, quanto em termos econômicos e geográficos.","","Corpus da Disciplina",""
"28","Documento 28","A área continental estende-se por 231,6 quilômetros quadrados, representando a maior parte do território do município. Quase 70% dessa área é classificada como Área de Proteção Ambiental por estar situada dentro dos limites do Parque Estadual da Serra do Mar e por abrigar uma grande área de Mata Atlântica nativa sobre as escarpas da Serra do Mar.","","Corpus da Disciplina",""
"29","Documento 29","A área insular estende-se sobre a Ilha de São Vicente, cujo território é dividido com o município vizinho de São Vicente. Com uma área de 39 quilômetros quadrados, densamente urbanizada, abriga quase a totalidade dos habitantes da cidade.","","Corpus da Disciplina",""
"30","Documento 30","A orla santista é composto por 6 praias em oito quilômetros de extensão. A orla é urbanizada com 218 800 metros quadrados de jardim urbano à beira-mar. Na Zona Intermediária são identificados os seguintes bairros (entre a orla e o centro) da cidade: Campo Grande, Encruzilhada, Estuário, Jabaquara, Macuco, Marapé, Vila Belmiro, Vila Hayden e Vila Mathias. Foi instituído, ainda, o bairro Chinês a partir da Lei de Uso do Solo de 2011 na área.","","Corpus da Disciplina",""
"31","Documento 31","A Zona Noroeste surgiu após a necessidade de expansão territorial na cidade que, apesar da distância da orla, se desenvolveu e expandiu-se a partir do antigo caminho do mar ao redor dos trilhos de um bonde que seguiu em direção a São Vicente. Integra, de uma forma geral, os mais recentes bairros na cidade: Alemoa, Areia Branca, Bom Retiro, Caneleira, Castelo, Chico de Paula, Piratininga, Rádio Clube, Saboó, Santa Maria, São Jorge, São Manoel, Vila Haddad e Vila Progresso, além de contar com o bairro Ilhéu Alto oficializada a partir de 2011 em um local de morro distante do aglomerado dos outros morros da cidade. A Zona Central é o ponto inicial da cidade, onde foi fundada a Vila de Santos, atualmente compreende os bairros Valongo, Centro, Paquetá, Vila Nova e Monte Serrat.","","Corpus da Disciplina",""
"32","Documento 32","Santos possui clima tropical litorâneo úmido. Os verões são quentes e úmidos (com pluviosidade média acima dos 250 mm no mês de janeiro), enquanto os invernos têm como característica temperaturas mais amenas e menor incidência de chuvas (pluviosidade média em torno dos 55 mm em agosto). Primavera e outono se caracterizam como estações de transição.","","Corpus da Disciplina",""
"33","Documento 33","Segundo dados do Instituto Nacional de Meteorologia (INMET), de 1931 a 1996, e do Centro Integrado de Informações Agrometeorológicas (CIIAGRO), de 1996 a 2017, a menor temperatura registrada em Santos foi de 4,2 °C em 13 de junho de 2016 e a maior atingiu 40,7 °C em 9 de setembro de 1997.","","Corpus da Disciplina",""
"34","Documento 34","Fora da série do INMET, foi registrada uma temperatura de 41,7 °C em 27 de janeiro de 2022. O maior acumulado de precipitação em 24 horas, medido pela série do INMET, foi de 368,8 milímetros (mm) em 18 de fevereiro de 1934. Acumulados iguais ou superiores a 200 mm também foram registrados em 17 de dezembro de 1934 (239,5 mm), 11 de janeiro de 1966 (203,8 mm) e 12 de março de 1998 (201,8 mm).","","Corpus da Disciplina",""
"35","Documento 35","Segundo os dados do Censo de 2010, Santos possuía naquele ano, 419 400 moradores: 419 086 deles moravam na zona urbana (99,93%) e 314 na zona rural (0,07%). De acordo os mesmos dados, 191 912 eram homens e 227 488 mulheres. Naquele ano havia 38 159 pessoas morando em aglomerados subnormais, o que correspondia a 9,13% de sua população.","","Corpus da Disciplina",""
"36","Documento 36","Dos moradores com 10 anos ou mais, 97,8% eram alfabetizados e 11% tinham rendimento nominal mensal abaixo de um salário mínimo.","","Corpus da Disciplina",""
"37","Documento 37","Em 2022, a população do município foi contada pelo Instituto Brasileiro de Geografia e Estatística em 418,608 habitantes, sendo o décimo mais populoso do estado, apresentando uma densidade populacional de 1 489,53 habitantes por quilômetro quadrado. Em 2010, o Índice de Desenvolvimento Humano era de 0,840, o terceiro maior do estado.","","Corpus da Disciplina",""
"38","Documento 38","Naquele ano, segundo dados do Censo do Instituto Brasileiro de Geografia e Estatística, a população santista era composta por 71,67% de brancos; 22,33% de pardos; 4,71% de pretos; 1,10% de amarelos; 0,14% ameríndios; além de 0,05% sem declaração. A cidade recebeu imigrantes principalmente durante o século XX.","","Corpus da Disciplina",""
"39","Documento 39","O intenso processo de conurbação atualmente em curso na região vem criando uma metrópole cujo centro está em Santos e atinge vários municípios, como São Vicente, Praia Grande e Guarujá. A Região Metropolitana da Baixada Santista foi criada mediante Lei Complementar Estadual 815, em 30 de julho de 1996, tornando-se a primeira região metropolitana brasileira sem status de capital estadual.","","Corpus da Disciplina",""
"40","Documento 40","Estende-se sobre municípios pertencentes tanto à Mesorregião de Santos (sobreposta à Microrregião de Santos) quanto à Mesorregião do Litoral Sul Paulista (mais precisamente, à Microrregião de Itanhaém). Todos os municípios da Região Metropolitana integram o litoral de São Paulo.","","Corpus da Disciplina",""
"41","Documento 41","A região abrange 2 419,930 quilômetros quadrados (corresponde a menos de 1% da superfície do estado de São Paulo). É a 15ª região metropolitana mais populosa do Brasil, com uma população de cerca de 1,6 milhão de moradores fixos, e faz parte do Complexo Metropolitano Expandido, uma megalópole que compreendia em 2008, 12% da população brasileira, ou cerca de 30 milhões de habitantes. Nos períodos de férias, acolhe igual número de pessoas, que se instalam na quase totalidade em seus municípios.","","Corpus da Disciplina",""
"42","Documento 42","Tal qual a variedade cultural verificável em Santos, são diversas as manifestações religiosas presentes na cidade. Embora tenha se desenvolvido sobre uma matriz social eminentemente católica, tanto devido à colonização quanto à imigração — e ainda hoje a maioria dos santistas declara-se católica —, é possível encontrar atualmente na cidade dezenas de denominações protestantes diferentes, assim como a prática do budismo, do islamismo, espiritismo, entre outras.","","Corpus da Disciplina",""
"43","Documento 43","De acordo com dados do censo de 2010 realizado pelo IBGE, a população santista era composta naquele ano por: 276 590 católicos (65,05%); 56 370 protestantes (13,44%), 34 380 pessoas sem religião (8,20%), 31 876 espíritas (2,31%), 1 657 umbandistas (0,40%), 1 471 budistas (0,35%) e 471 judeus (0,11%). Segundo o censo brasileiro de 2022, a composição religiosa da cidade era de 58,98% católicos, 14,39% evangélicos ou protestantes, 7,67% espíritas, 2,13% umbandistas ou candomblecistas, 0,03% religião tradicional, 6,23% outra religião, 10,45% irreligiosos, 0,06% desconhecidos e 0,05% não declarados.","","Corpus da Disciplina",""
"44","Documento 44","Santos está localizada no país mais católico do mundo em números absolutos. A Igreja Católica teve seu estatuto jurídico reconhecido pelo governo federal em outubro de 2009, ainda que o Brasil seja atualmente um estado oficialmente laico. A Diocese de Santos, presente na cidade, engloba as paróquias das cidades de Bertioga, Cubatão, Guarujá, Itanhaém, Mongaguá, Peruíbe, Praia Grande e São Vicente. O município está dividido em 23 paróquias.","","Corpus da Disciplina",""
"45","Documento 45","A administração municipal se dá pelo poder executivo e pelo poder legislativo.","","Corpus da Disciplina",""
"46","Documento 46","O primeiro prefeito de Santos foi o Coronel Carlos Augusto Vasconcelos Tavares. Ao longo de vários mandatos, diferentes pessoas já passaram pela prefeitura. O eleito nas eleições municipais de Santos em 2020 foi Rogério Santos, do Partido da Social Democracia Brasileira (PSDB), que tomou posse no ano seguinte.","","Corpus da Disciplina",""
"47","Documento 47","O poder legislativo da cidade de Santos é constituído pela câmara municipal, composta por 21 vereadores eleitos para mandatos de quatro anos (em observância ao disposto no artigo 29 da Constituição) e está composta da seguinte forma: três do PSDB; três do Progressistas (PP); três do Partido Liberal (PL); dois do Democratas (DEM); dois do Partido Socialista Brasileiro (PSB); dois do Partido dos Trabalhadores (PT); dois do Podemos (PODE); dois do Republicanos; 1 do Partido Socialismo e Liberdade (PSOL) e 1 do Partido Social Liberal (PSL).","","Corpus da Disciplina",""
"48","Documento 48","O Produto Interno Bruto (PIB) é o maior da Região Metropolitana da Baixada Santista, o 13º do estado de São Paulo e o 33º de todo o país, em 2016. De acordo com dados do Instituto Brasileiro de Geografia e Estatística relativos a 2016, o PIB do município era de 21.954.556,74 bilhões de reais e o PIB per capita era de 50 544,73 reais.","","Corpus da Disciplina",""
"49","Documento 49","O montante de riquezas gerado na cidade supera o de outros estados brasileiros, como Alagoas, Sergipe e Tocantins. O setor de turismo e serviços em geral têm importante peso na economia local, mas o Porto de Santos é o maior gerador de receita e renda para a cidade, sendo que o município é a segunda cidade que mais arrecada impostos no estado de São Paulo.","","Corpus da Disciplina",""
"50","Documento 50","Santos possui o maior porto da América Latina, o Porto de Santos. Suas obras começaram em 1888 e o primeiro trecho de cais foi inaugurado em 1892. O porto de Santos é responsável por escoar boa parte das exportações brasileiras e cerca de 70% das exportações de café.","","Corpus da Disciplina",""
"51","Documento 51","O Complexo Portuário de Santos responde por mais de um quarto da movimentação da balança comercial brasileira é o principal porto do país, e inclui na pauta de suas principais cargas produtos como o açúcar, soja, café, milho, trigo, sal, polpa cítrica, suco de laranja, papel, automóveis, álcool e outros granéis líquidos, em cargas transportadas em contêineres via porto, trilhos e estradas.","","Corpus da Disciplina",""
"52","Documento 52","A área de influência econômica do porto concentra mais de 50% do produto interno bruto (PIB) do país e abrange principalmente os estados de São Paulo, Minas Gerais, Goiás, Mato Grosso e Mato Grosso do Sul. Aproximadamente 90% da base industrial paulista está localizada a menos de 200 quilômetros do porto santista. Em 2007, o Porto de Santos foi considerado o 39ª maior do mundo por movimentação de contêineres pela publicação britânica Container Management, sendo o mais movimentado da América Latina.","","Corpus da Disciplina",""
"53","Documento 53","O orçamento municipal gira em torno de 1,9 bilhão em 2013, segundo estimativa. A renda per capita também figura no início do ranking de cidades brasileiras. Pelo censo de 2010, do IBGE, aparece em 9ª posição, com remuneração média de 1.682,24 reais, maior do que a renda por habitante de capitais como São Paulo (1.495,04 reais) e Rio de Janeiro (1.518,55 reais). O nível de emprego tem se mantido em constante alta na década de 2000, seguindo tendência nacional.","","Corpus da Disciplina",""
"54","Documento 54","Entre os principais pontos turísticos de Santos além de suas praias, podemos citar os Jardins da orla de Santos que é o maior jardim frontal de praia em extensão do mundo. Em 2023, Santos arrecadou 13,7 milhões de reais em Imposto sobre Serviços de Qualquer Natureza (ISS) no setor de turismo, um aumento de 171% em relação ao ano anterior e o maior valor desde o início das medições em 2018. O ISS do turismo engloba atividades como hospedagem, agenciamento, guias, parques de diversão, feiras, congressos, eventos esportivos, museologia e serviços portuários. Santos ocupa a 13ª posição no ranking nacional de arrecadação de ISS, superando várias capitais brasileiras.","","Corpus da Disciplina",""
"55","Documento 55","O Aquário de Santos (antigo Aquário Municipal de Santos), inaugurado em 1945 pelo então Presidente da República Getúlio Vargas e ampliado em 2006, é o segundo parque público mais visitado do estado e atrai turistas do mundo inteiro.","","Corpus da Disciplina",""
"56","Documento 56","Outros lugares de interesse são o Museu do Café Brasileiro, o Orquidário Municipal, o Jardim Botânico Chico Mendes, o Teatro Coliseu Santista, o Panteão dos Andradas, o Monte Serrat, e a Estação do Valongo. A Laje de Santos  é um lugar muito procurado por mergulhadores. Entre as igrejas de interesse temos a Catedral de Santos, a Igreja Santo Antônio do Embaré, e a Igreja do Valongo.","","Corpus da Disciplina",""
"57","Documento 57","Santos é um dos 15 municípios paulistas considerados estâncias balneárias pelo estado de São Paulo, por cumprirem determinados pré-requisitos definidos por Lei Estadual. Tal status garante a esses municípios uma verba maior por parte do estado para a promoção do turismo regional. Também, o município adquire o direito de agregar junto a seu nome o título de Estância Balneária, termo pelo qual passa a ser designado tanto pelo expediente municipal oficial quanto pelas referências estaduais.","","Corpus da Disciplina",""
"58","Documento 58","Basicamente, a rede urbana de Santos é composta de uma malha urbana em formato de tabuleiro de xadrez, fruto do projeto desenvolvido pelo engenheiro Saturnino de Brito. A maioria das grandes vias de circulação estendem-se no sentido norte-sul: são as avenidas arborizadas que margeiam os canais e as avenidas Ana Costa e Conselheiro Nébias (antiga ligação do Centro da Cidade às praias). Elas conectam as praias, ao sul, com o Centro da Cidade, ao norte. O Centro faz face ao braço de mar conhecido por Largo do Caneú. A avenida Ana Costa pode ser considerada a avenida símbolo da cidade, onde se situam edifícios comerciais, cinemas, bancos e escolas. Suas palmeiras imperiais remontam à década de 1920, e no coração do bairro do Gonzaga (cruzado por essa avenida) ela atravessa a Praça Independência, local tradicional de comemorações da cidade, onde está o Monumento à Independência (com o patriarca José Bonifácio de Andrada e Silva no alto) inaugurado em 1922.","","Corpus da Disciplina",""
"59","Documento 59","No sentido leste-oeste, as ligações viárias são mais escassas. Elas conectam regiões próximas do Maciço de São Vicente (a oeste) ao Estuário de Santos, face ao qual se estende o Porto (a leste). Três grandes eixos de circulação se destacam nesse sentido: o eixo central, as avenidas Afonso Pena e Francisco Glicério (do bairro Ponta da Praia aos morros via região central à zona leste); o eixo leste que margeia a orla da praia (recebendo vários nomes: Presidente Wilson, Vicente de Carvalho, Bartolomeu de Gusmão e Almirante Saldanha da Gama) e também a avenida paralela à da orla (que também recebe vários nomes: Floriano Peixoto, Galeão Carvalhal, Embaixador Pedro de Toledo e Epitácio Pessoa); e o eixo central-noroeste (formado por vias entre São Francisco e João Pessoa a Francisco Dorneles Vargas, Martins Fontes e acessos tais como Nossa Senhora de Fátima, rodovias, porto-alemoa e morros). Quanto à paisagem urbana, ao sul da linha férrea, a cidade de Santos é extremamente densa, principalmente nas quadras fronteiras ao mar. Ao centro da ilha (Campo Grande, Encruzilhada, Macuco), a densidade cai (apesar de manter-se considerável) e próximo ao Centro, mais ao norte da ilha, os bairros da Vila Nova, Vila Mathias e Paquetá - áreas nobres no início do século XX - foram convertidas ao longo do século em áreas industriais e, em sua maioria, deterioradas (com proliferação de cortiços e desvalorização urbana). Na Vila Nova localiza-se o Mercado Municipal de Santos.","","Corpus da Disciplina",""
